municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
"SANTO ANTONIO DO PLANALTO",1,0,20,1,0,0,0,0,0,0,0,0,0,2008
"SANTO AUGUSTO",1,2,218,16,0,0,0,0,10,0,5,7,4,2008
"SANTO CRISTO",2,3,60,2,0,0,0,0,8,1,4,1,3,2008
"SANTO EXPEDITO DO SUL",0,0,15,0,0,0,0,0,0,0,0,5,0,2008
"SAO BORJA",5,26,1101,125,3,3,6,0,53,0,26,60,51,2008
"SAO DOMINGOS DO SUL",0,0,17,3,0,0,0,0,2,0,0,0,0,2008
"SAO FRANCISCO DE ASSIS",0,3,294,15,0,1,1,0,14,0,2,23,2,2008
"SAO FRANCISCO DE PAULA",8,7,311,17,1,8,1,0,30,1,7,6,8,2008
"SAO GABRIEL",3,16,984,92,0,0,3,0,25,0,46,25,16,2008
"SAO JERONIMO",1,11,766,32,0,1,0,0,21,0,20,19,33,2008
"SAO JOAO DA URTIGA",0,0,25,0,0,0,0,0,5,0,1,1,0,2008
"SAO JOAO DO POLESINE",0,0,31,0,0,0,0,0,1,0,1,1,0,2008
"SAO JORGE",0,1,21,1,0,0,0,0,1,0,1,0,0,2008
"SAO JOSE DAS MISSOES",0,1,10,3,0,0,0,0,1,0,0,2,0,2008
"SAO JOSE DO HERVAL",0,2,26,0,0,0,0,0,2,0,0,7,0,2008
"SAO JOSE DO HORTENCIO",0,4,13,1,0,0,0,0,1,0,0,0,0,2008
"SAO JOSE DO INHACORA",1,0,8,0,0,0,0,0,0,0,0,1,0,2008
"SAO JOSE DO NORTE",0,4,426,42,0,1,0,0,11,0,34,6,15,2008
"SAO JOSE DO OURO",0,3,39,3,0,0,1,0,3,0,0,5,0,2008
"SAO JOSE DO SUL",0,0,11,1,0,0,0,0,0,0,0,0,0,2008
"SAO JOSE DOS AUSENTES",2,0,35,1,0,0,0,0,7,1,0,0,2,2008
"SAO LEOPOLDO",59,451,4792,2303,0,622,17,0,365,5,145,147,74,2008
"SAO LOURENCO DO SUL",4,11,842,39,0,0,0,0,30,0,14,23,28,2008
"SAO LUIZ GONZAGA",9,29,1124,97,0,8,5,0,41,0,20,29,12,2008
"SAO MARCOS",2,1,185,18,0,3,0,0,26,0,7,3,6,2008
"SAO MARTINHO",0,0,59,2,0,0,0,0,4,0,0,3,0,2008
"SAO MARTINHO DA SERRA",0,0,63,0,0,0,0,0,0,0,0,0,0,2008
"SAO MIGUEL DAS MISSOES",0,0,73,11,0,0,1,0,1,1,0,6,0,2008
"SAO NICOLAU",1,1,185,5,1,0,0,0,4,0,3,13,0,2008
"SAO PAULO DAS MISSOES",1,0,42,1,0,0,4,0,4,0,1,5,0,2008
"SAO PEDRO DA SERRA",0,0,17,0,0,0,0,0,0,1,0,1,1,2008
"SAO PEDRO DAS MISSOES",0,0,4,0,0,0,0,0,0,0,0,3,0,2008
"SAO PEDRO DO BUTIA",0,1,22,0,0,0,0,0,2,0,0,1,0,2008
"SAO PEDRO DO SUL",3,3,322,16,0,0,0,0,13,0,9,11,1,2008
"SAO SEBASTIAO DO CAI",0,18,507,49,0,12,2,0,38,1,30,5,11,2008
"SAO SEPE",4,12,863,51,0,1,1,0,33,0,11,18,24,2008
"SAO VALENTIM",1,0,21,0,0,0,0,0,0,0,0,2,0,2008
"SAO VALENTIM DO SUL",0,0,11,2,0,1,0,0,1,0,0,2,0,2008
