municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
ACEGUA,0,1,47,2,0,0,0,0,0,0,0,0,0,2003
"AGUA SANTA",0,1,43,1,0,0,0,0,4,0,0,0,0,2003
AGUDO,0,5,217,3,0,0,0,0,17,0,0,0,1,2003
AJURICABA,0,0,93,3,0,0,0,0,11,0,0,0,0,2003
ALECRIM,1,0,41,0,0,0,0,0,1,0,0,0,0,2003
ALEGRETE,12,40,1990,237,0,4,2,0,89,0,60,0,7,2003
ALEGRIA,1,2,36,2,0,0,0,0,2,0,0,0,0,2003
"ALMIRANTE TAMANDARE DO SUL",0,0,8,1,0,0,0,0,0,0,0,0,0,2003
ALPESTRE,0,2,112,7,0,1,0,0,8,0,0,0,0,2003
"ALTO ALEGRE",0,1,13,3,0,0,0,0,0,0,0,0,0,2003
"ALTO FELIZ",0,0,12,5,0,0,0,0,0,0,0,0,0,2003
ALVORADA,49,229,4125,3110,4,185,6,0,173,7,163,0,28,2003
"AMARAL FERRADOR",1,2,35,0,0,0,0,0,4,0,0,0,0,2003
"AMETISTA DO SUL",3,1,75,6,0,1,0,0,2,0,2,0,0,2003
"ANDRE DA ROCHA",0,0,12,0,0,0,0,0,0,0,0,0,0,2003
"ANTA GORDA",1,1,42,4,0,0,0,0,2,0,0,0,0,2003
"ANTONIO PRADO",0,5,225,13,0,1,0,0,12,0,10,0,2,2003
ARAMBARE,0,4,49,0,0,0,0,0,0,0,1,0,0,2003
ARARICA,0,2,69,16,0,0,0,0,5,0,4,0,0,2003
ARATIBA,0,2,46,2,0,0,0,0,8,0,0,0,1,2003
"ARROIO DO MEIO",3,15,321,13,0,4,0,0,19,0,3,0,1,2003
"ARROIO DO PADRE",0,0,2,0,0,0,0,0,0,0,0,0,0,2003
"ARROIO DO SAL",2,22,431,25,0,0,0,0,26,0,11,0,4,2003
"ARROIO DO TIGRE",1,13,161,2,0,0,0,0,8,0,0,0,0,2003
"ARROIO DOS RATOS",1,7,242,19,0,0,0,0,18,0,0,0,5,2003
"ARROIO GRANDE",3,3,367,19,0,0,0,0,17,0,2,0,3,2003
ARVOREZINHA,1,6,128,18,0,1,0,0,5,0,0,0,1,2003
"AUGUSTO PESTANA",1,1,96,2,0,0,0,0,12,0,0,0,0,2003
AUREA,0,2,14,1,0,0,0,0,1,0,0,0,0,2003
BAGE,18,124,3625,370,1,4,6,0,181,3,57,0,26,2003
"BALNEARIO PINHAL",4,26,689,34,0,2,0,0,19,1,13,0,0,2003
BARAO,0,2,40,0,0,0,0,0,7,1,1,0,0,2003
"BARAO DE COTEGIPE",0,3,92,2,0,0,0,0,4,1,1,0,0,2003
"BARAO DO TRIUNFO",1,4,66,9,0,1,0,0,2,0,1,0,0,2003
"BARRA DO GUARITA",1,0,61,3,0,0,0,0,1,0,0,0,0,2003
"BARRA DO QUARAI",1,0,137,1,0,0,0,0,0,0,2,0,0,2003
"BARRA DO RIBEIRO",2,5,222,19,0,0,0,0,16,0,2,0,1,2003
"BARRA DO RIO AZUL",0,0,20,0,0,0,0,0,0,0,1,0,0,2003
"BARRA FUNDA",0,1,13,1,0,0,0,0,0,0,0,0,0,2003
BARRACAO,0,2,70,2,0,0,0,0,1,0,0,0,0,2003
"BARROS CASSAL",5,7,147,14,0,0,0,0,7,0,0,0,1,2003
"BENJAMIN CONSTANT DO SUL",1,0,4,1,0,0,0,0,0,0,0,0,0,2003
"BENTO GONCALVES",10,202,2142,212,1,34,5,0,142,0,63,1,16,2003
"BOA VISTA DAS MISSOES",0,2,24,2,0,3,0,0,0,0,0,0,0,2003
"BOA VISTA DO BURICA",0,2,28,0,0,0,0,0,16,0,1,0,0,2003
"BOA VISTA DO CADEADO",0,1,37,2,0,0,0,0,0,0,0,0,0,2003
"BOA VISTA DO INCRA",0,1,18,0,0,1,0,0,7,0,0,0,0,2003
"BOA VISTA DO SUL",0,1,19,4,0,0,0,0,1,0,0,0,0,2003
"BOM JESUS",3,4,224,7,0,0,0,0,19,0,4,0,1,2003
"BOM PRINCIPIO",1,6,102,12,1,5,0,0,10,1,6,0,2,2003
"BOM PROGRESSO",0,0,35,3,0,0,0,0,0,0,0,0,0,2003
