municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
"RODEIO BONITO",1,2,53,2,0,0,0,0,2,0,0,3,3
ROLADOR,0,0,17,0,0,0,0,0,0,0,0,1,0
ROLANTE,4,8,158,27,0,3,0,0,12,1,16,9,1
"RONDA ALTA",0,3,122,11,0,5,0,0,8,0,0,3,0
RONDINHA,0,1,54,1,0,0,0,0,3,0,0,0,0
"ROQUE GONZALES",1,0,85,5,0,0,0,0,7,0,3,14,3
"ROSARIO DO SUL",6,10,1009,61,0,5,0,0,50,2,27,50,14
"SAGRADA FAMILIA",0,0,24,3,0,0,0,0,0,0,0,1,0
"SALDANHA MARINHO",0,1,12,0,0,0,0,0,6,0,0,1,0
"SALTO DO JACUI",3,3,202,14,0,1,2,0,18,0,6,15,2
"SALVADOR DAS MISSOES",0,0,13,0,0,0,0,0,2,0,0,1,0
"SALVADOR DO SUL",0,8,45,4,0,0,0,0,3,0,0,1,0
SANANDUVA,1,6,114,14,0,0,1,0,13,0,6,8,5
"SANTA BARBARA DO SUL",0,1,85,4,0,0,1,0,13,0,0,2,3
"SANTA CECILIA DO SUL",0,1,13,1,0,0,0,0,0,0,0,1,0
"SANTA CLARA DO SUL",0,2,26,4,0,1,0,0,0,0,0,2,0
"SANTA CRUZ DO SUL",9,346,1970,296,1,35,4,0,133,3,148,49,47
"SANTA MARGARIDA DO SUL",0,1,42,0,0,0,0,0,0,0,0,2,0
"SANTA MARIA",22,362,5357,1467,1,79,22,0,398,2,166,124,80
"SANTA MARIA DO HERVAL",0,2,11,1,0,0,1,0,0,1,0,0,0
"SANTA ROSA",11,65,1277,97,0,2,1,0,68,2,66,33,41
"SANTA TEREZA",0,0,9,0,0,1,0,0,1,0,0,2,0
"SANTA VITORIA DO PALMAR",0,6,746,56,0,1,2,0,47,0,13,13,1
"SANTANA DA BOA VISTA",2,2,74,4,0,0,0,0,0,0,0,3,0
"SANTANA DO LIVRAMENTO",10,138,1575,225,1,16,2,0,71,3,48,48,8
SANTIAGO,5,20,977,76,1,2,1,0,99,0,42,48,46
"SANTO ANGELO",10,71,1787,272,0,6,3,0,139,1,24,50,18
"SANTO ANTONIO DA PATRULHA",3,25,566,66,0,8,3,0,22,1,29,8,12
"SANTO ANTONIO DAS MISSOES",0,0,178,6,0,0,0,0,8,0,5,10,1
"SANTO ANTONIO DO PALMA",0,1,19,0,0,0,0,0,1,0,0,2,0
"SANTO ANTONIO DO PLANALTO",0,2,21,1,0,0,0,0,0,0,0,0,0
"SANTO AUGUSTO",1,6,209,20,0,0,0,0,5,1,0,14,5
"SANTO CRISTO",1,4,62,3,0,0,0,0,8,0,5,5,0
"SANTO EXPEDITO DO SUL",0,0,13,0,0,0,0,0,1,0,0,2,0
"SAO BORJA",6,27,1030,115,0,4,2,0,36,0,20,45,22
"SAO DOMINGOS DO SUL",0,1,16,2,0,0,0,0,1,0,1,1,0
"SAO FRANCISCO DE ASSIS",1,8,276,22,0,0,0,0,12,0,5,25,1
"SAO FRANCISCO DE PAULA",1,5,390,34,0,6,0,0,12,0,13,9,9
"SAO GABRIEL",5,23,1028,93,1,0,0,0,54,0,31,21,17
"SAO JERONIMO",6,8,490,49,0,6,0,0,19,0,16,12,44
"SAO JOAO DA URTIGA",0,0,27,1,0,0,0,0,5,0,0,2,0
"SAO JOAO DO POLESINE",1,1,30,2,0,0,0,0,2,0,1,0,0
"SAO JORGE",0,1,22,1,0,0,0,0,0,0,0,0,0
"SAO JOSE DAS MISSOES",0,0,10,0,0,0,0,0,1,0,0,1,0
"SAO JOSE DO HERVAL",0,1,23,5,0,1,0,0,1,0,0,1,0
"SAO JOSE DO HORTENCIO",0,6,21,1,0,0,0,0,5,0,0,1,0
"SAO JOSE DO INHACORA",0,0,7,0,0,0,0,0,2,0,0,0,0
"SAO JOSE DO NORTE",2,2,443,42,0,1,0,0,13,0,40,3,12
"SAO JOSE DO OURO",0,1,47,1,0,0,0,1,3,0,0,3,0
"SAO JOSE DO SUL",0,1,17,0,0,0,0,0,0,0,0,1,0
"SAO JOSE DOS AUSENTES",1,0,50,4,0,0,0,0,8,0,1,2,1
"SAO LEOPOLDO",55,550,4366,1920,1,442,19,2,374,2,245,134,138
"SAO LOURENCO DO SUL",2,16,754,48,0,0,2,0,24,0,6,12,22
"SAO LUIZ GONZAGA",4,11,1252,106,0,1,4,0,59,1,25,39,22
"SAO MARCOS",1,18,276,25,0,5,1,0,14,0,13,5,19
"SAO MARTINHO",0,1,50,2,0,0,0,0,1,0,0,4,1
